,latitude,longitude,t2m,tp,swvl1
22735,1,3305,241.76326,2.862513e-05,0.20196024
22736,1,3305,242.65111,7.0266426e-05,0.20196024
22737,1,3305,241.84694,2.0816922e-05,0.20196024
22738,1,3305,242.50076,0.0,0.20196024
22739,1,3305,242.95178,2.6002526e-06,0.20196024
22740,1,3305,245.26218,2.0816922e-05,0.20196024
22741,1,3305,243.83112,0.0,0.20196024
22742,1,3306,241.76326,2.862513e-05,0.202007
22743,1,3306,242.65111,7.0266426e-05,0.202007
22744,1,3306,241.84694,2.0816922e-05,0.202007
22745,1,3306,242.50218,0.0,0.202007
22746,1,3306,242.9532,2.6002526e-06,0.202007
22747,1,3306,245.26076,2.0816922e-05,0.202007
22748,1,3306,243.83112,0.0,0.202007
22749,1,3307,241.76042,2.862513e-05,0.20204206
22750,1,3307,242.65111,7.0266426e-05,0.20204206
22751,1,3307,241.84552,2.0816922e-05,0.20204206
22752,1,3307,242.50218,0.0,0.20204206
22753,1,3307,242.9532,2.6002526e-06,0.20204206
22754,1,3307,245.26076,2.0816922e-05,0.20204206
22755,1,3307,243.83395,0.0,0.20204206
22756,1,3308,241.76042,2.862513e-05,0.20208882
22757,1,3308,242.65111,7.0266426e-05,0.20208882
22758,1,3308,241.84552,2.0816922e-05,0.20208882
22759,1,3308,242.50218,0.0,0.20208882
22760,1,3308,242.9532,2.6002526e-06,0.20208882
22761,1,3308,245.26076,2.0816922e-05,0.20208882
22762,1,3308,243.83537,0.0,0.20208882
22763,1,3309,241.76042,2.862513e-05,0.20213558
22764,1,3309,242.65111,7.0266426e-05,0.20213558
22765,1,3309,241.84552,2.0816922e-05,0.20213558
22766,1,3309,242.50218,0.0,0.20213558
22767,1,3309,242.95604,2.6002526e-06,0.20213558
22768,1,3309,245.26076,2.0816922e-05,0.20213558
22769,1,3309,243.83537,0.0,0.20213558
22770,1,3310,241.759,2.862513e-05,0.20218232
22771,1,3310,242.65111,7.0266426e-05,0.20218232
22772,1,3310,241.84552,2.0816922e-05,0.20218232
22773,1,3310,242.50218,0.0,0.20218232
22774,1,3310,242.95604,2.6002526e-06,0.20218232
22775,1,3310,245.26076,2.0816922e-05,0.20218232
22776,1,3310,243.83821,0.0,0.20218232
22777,1,3311,241.759,2.862513e-05,0.2022057
22778,1,3311,242.65253,7.0266426e-05,0.2022057
22779,1,3311,241.84552,2.0816922e-05,0.2022057
22780,1,3311,242.50502,0.0,0.2022057
22781,1,3311,242.95746,2.6002526e-06,0.2022057
22782,1,3311,245.25934,2.0816922e-05,0.2022057
22783,1,3311,243.83963,0.0,0.2022057
22784,1,3312,241.759,2.862513e-05,0.20225246
22785,1,3312,242.65253,7.0266426e-05,0.20225246
22786,1,3312,241.84552,2.0816922e-05,0.20225246
22787,1,3312,242.50502,0.0,0.20225246
22788,1,3312,242.95746,2.6002526e-06,0.20225246
22789,1,3312,245.25934,2.0816922e-05,0.20225246
22790,1,3312,243.83963,0.0,0.20225246
22791,1,3313,241.759,2.862513e-05,0.20229922
22792,1,3313,242.65253,7.0266426e-05,0.20229922
22793,1,3313,241.8441,2.0816922e-05,0.20229922
22794,1,3313,242.50502,0.0,0.20229922
22795,1,3313,242.95746,2.6002526e-06,0.20229922
22796,1,3313,245.25934,2.0816922e-05,0.20229922
22797,1,3313,243.84105,0.0,0.20229922
22798,1,3314,241.75758,2.862513e-05,0.20233428
22799,1,3314,242.65253,7.0266426e-05,0.20233428
22800,1,3314,241.8441,2.0816922e-05,0.20233428
22801,1,3314,242.50502,0.0,0.20233428
22802,1,3314,242.95888,2.6002526e-06,0.20233428
22803,1,3314,245.25934,2.0816922e-05,0.20233428
22804,1,3314,243.84389,0.0,0.20233428
22805,1,3315,241.75758,2.862513e-05,0.20238104
22806,1,3315,242.65253,7.0266426e-05,0.20238104
22807,1,3315,241.8441,2.0816922e-05,0.20238104
22808,1,3315,242.50502,0.0,0.20238104
22809,1,3315,242.95888,2.6002526e-06,0.20238104
22810,1,3315,245.2565,2.0816922e-05,0.20238104
22811,1,3315,243.84389,0.0,0.20238104
22812,1,3316,241.75758,2.862513e-05,0.20242779
22813,1,3316,242.65395,7.0266426e-05,0.20242779
22814,1,3316,241.8441,2.0816922e-05,0.20242779
22815,1,3316,242.50644,0.0,0.20242779
22816,1,3316,242.95888,2.6002526e-06,0.20242779
22817,1,3316,245.2565,2.0816922e-05,0.20242779
22818,1,3316,243.8453,0.0,0.20242779
22819,1,3317,241.75476,2.862513e-05,0.20247455
22820,1,3317,242.65395,7.0266426e-05,0.20247455
22821,1,3317,241.8441,2.0816922e-05,0.20247455
22822,1,3317,242.50644,0.0,0.20247455
22823,1,3317,242.96172,2.6002526e-06,0.20247455
22824,1,3317,245.2565,2.0816922e-05,0.20247455
22825,1,3317,243.8453,0.0,0.20247455
22826,1,3318,241.75476,2.862513e-05,0.20249793
22827,1,3318,242.65395,7.0266426e-05,0.20249793
22828,1,3318,241.84126,2.0816922e-05,0.20249793
22829,1,3318,242.50644,0.0,0.20249793
22830,1,3318,242.96172,2.6002526e-06,0.20249793
22831,1,3318,245.2565,2.0816922e-05,0.20249793
22832,1,3318,243.84673,0.0,0.20249793
22833,1,3319,241.75476,2.862513e-05,0.20254467
22834,1,3319,242.65395,7.0266426e-05,0.20254467
22835,1,3319,241.84126,2.0816922e-05,0.20254467
22836,1,3319,242.50644,0.0,0.20254467
22837,1,3319,242.96313,2.6002526e-06,0.20254467
22838,1,3319,245.25508,2.0816922e-05,0.20254467
22839,1,3319,243.84956,0.0,0.20254467
